boat_id;x;y;width;height;timestamp
Boat 13;33;631;97;99;0.9342666666666667
Boat 13;58;642;63;47;0.9342666666666667
Boat 13;285;560;150;72;0.9342666666666667
Boat 13;138;506;60;55;0.9342666666666667
Boat 13;150;344;166;66;0.9342666666666667
Boat 1;117;1027;24;34;0.0
Boat 2;565;974;68;78;0.0
Boat 3;365;702;91;53;0.0
Boat 4;483;672;140;60;0.0
Boat 5;547;682;71;27;0.0
Boat 6;234;659;94;45;0.0
Boat 7;308;650;171;112;0.0
Boat 8;1093;609;58;56;0.0
Boat 9;22;591;99;52;0.0
Boat 10;853;566;101;38;0.0
Boat 11;876;568;68;29;0.0
Boat 12;583;435;143;46;0.0
Boat 13;431;396;227;102;0.0
Boat 14;15;212;225;64;0.0
Boat 15;35;255;57;20;0.0
Boat 15;117;1027;24;34;0.9676333333333333
Boat 15;565;974;68;78;0.9676333333333333
Boat 15;365;702;91;53;0.9676333333333333
Boat 15;483;672;140;60;0.9676333333333333
Boat 15;547;682;71;27;0.9676333333333333
Boat 15;234;659;94;45;0.9676333333333333
Boat 15;308;650;171;112;0.9676333333333333
Boat 15;1093;609;58;56;0.9676333333333333
Boat 15;22;591;99;52;0.9676333333333333
Boat 15;853;566;101;38;0.9676333333333333
Boat 15;876;568;68;29;0.9676333333333333
Boat 15;583;435;143;46;0.9676333333333333
Boat 15;431;396;227;102;0.9676333333333333
Boat 15;15;212;225;64;0.9676333333333333
Boat 15;35;255;57;20;0.9676333333333333
Boat 1;941;611;119;59;0.0
Boat 2;730;603;57;23;0.0
Boat 3;730;605;56;19;0.0
Boat 4;1057;555;70;66;0.0
Boat 4;941;611;119;59;1.0010000000000001
Boat 4;730;603;57;23;1.0010000000000001
Boat 4;730;605;56;19;1.0010000000000001
Boat 4;1057;555;70;66;1.0010000000000001
Boat 1;80;1032;63;48;0.0
Boat 2;87;1038;33;32;0.0
Boat 3;52;1023;28;23;0.0
Boat 4;5;920;45;52;0.0
Boat 5;111;700;101;82;0.0
Boat 6;0;656;100;89;0.0
Boat 7;1089;604;61;64;0.0
Boat 8;729;591;80;34;0.0
Boat 9;731;606;56;19;0.0
Boat 10;204;577;144;72;0.0
Boat 11;213;604;71;40;0.0
Boat 12;14;549;242;109;0.0
Boat 13;12;297;160;52;0.0
Boat 14;1159;130;87;24;0.0
Boat 14;80;1032;63;48;1.0343666666666667
Boat 14;87;1038;33;32;1.0343666666666667
Boat 14;52;1023;28;23;1.0343666666666667
Boat 14;5;920;45;52;1.0343666666666667
Boat 14;111;700;101;82;1.0343666666666667
Boat 14;0;656;100;89;1.0343666666666667
Boat 14;1089;604;61;64;1.0343666666666667
Boat 14;729;591;80;34;1.0343666666666667
Boat 14;731;606;56;19;1.0343666666666667
Boat 14;204;577;144;72;1.0343666666666667
Boat 14;213;604;71;40;1.0343666666666667
Boat 14;14;549;242;109;1.0343666666666667
Boat 14;12;297;160;52;1.0343666666666667
Boat 14;1159;130;87;24;1.0343666666666667
Boat 1;281;1027;37;53;0.0
Boat 2;288;1033;20;34;0.0
Boat 3;100;984;89;50;0.0
Boat 4;200;883;73;61;0.0
Boat 5;246;641;97;61;0.0
Boat 6;951;534;87;59;0.0
Boat 7;894;436;155;94;0.0
Boat 7;281;1027;37;53;1.0677333333333334
Boat 7;288;1033;20;34;1.0677333333333334
Boat 7;100;984;89;50;1.0677333333333334
Boat 7;200;883;73;61;1.0677333333333334
Boat 7;246;641;97;61;1.0677333333333334
Boat 7;951;534;87;59;1.0677333333333334
Boat 7;894;436;155;94;1.0677333333333334
Boat 1;99;941;49;48;0.0
Boat 2;40;917;65;109;0.0
Boat 3;58;946;26;34;0.0
Boat 4;329;881;150;64;0.0
Boat 5;61;722;96;93;0.0
Boat 6;144;705;90;60;0.0
Boat 7;913;614;97;64;0.0
Boat 8;1051;605;78;70;0.0
Boat 9;48;589;177;82;0.0
Boat 10;836;574;112;28;0.0
Boat 11;406;553;145;67;0.0
Boat 12;594;528;132;65;0.0
Boat 13;103;473;166;81;0.0
Boat 14;868;467;122;58;0.0
Boat 15;874;124;72;32;0.0
Boat 15;99;941;49;48;1.1011
Boat 15;40;917;65;109;1.1011
Boat 15;58;946;26;34;1.1011
Boat 15;329;881;150;64;1.1011
Boat 15;61;722;96;93;1.1011
Boat 15;144;705;90;60;1.1011
Boat 15;913;614;97;64;1.1011
Boat 15;1051;605;78;70;1.1011
Boat 15;48;589;177;82;1.1011
Boat 15;836;574;112;28;1.1011
Boat 15;406;553;145;67;1.1011
Boat 15;594;528;132;65;1.1011
Boat 15;103;473;166;81;1.1011
Boat 15;868;467;122;58;1.1011
Boat 15;874;124;72;32;1.1011
Boat 1;96;938;53;51;0.0
Boat 2;54;934;35;42;0.0
Boat 3;180;883;96;127;0.0
Boat 4;0;685;118;86;0.0
Boat 5;93;660;103;64;0.0
Boat 6;1067;574;96;117;0.0
Boat 7;261;551;144;54;0.0
Boat 8;289;563;70;33;0.0
Boat 9;75;405;200;94;0.0
Boat 9;96;938;53;51;1.1344666666666667
Boat 9;54;934;35;42;1.1344666666666667
Boat 9;180;883;96;127;1.1344666666666667
Boat 9;0;685;118;86;1.1344666666666667
Boat 9;93;660;103;64;1.1344666666666667
Boat 9;1067;574;96;117;1.1344666666666667
Boat 9;261;551;144;54;1.1344666666666667
Boat 9;289;563;70;33;1.1344666666666667
Boat 9;75;405;200;94;1.1344666666666667
Boat 1;56;937;33;46;0.0
Boat 2;93;936;59;54;0.0
Boat 3;352;923;44;55;0.0
Boat 4;61;764;138;51;0.0
Boat 5;302;617;94;45;0.0
Boat 6;1036;559;144;141;0.0
Boat 7;433;488;183;83;0.0
Boat 8;128;474;92;67;0.0
Boat 9;160;489;52;31;0.0
Boat 10;912;468;78;63;0.0
Boat 11;1526;304;99;28;0.0
Boat 11;56;937;33;46;1.1678333333333333
Boat 11;93;936;59;54;1.1678333333333333
Boat 11;352;923;44;55;1.1678333333333333
Boat 11;61;764;138;51;1.1678333333333333
Boat 11;302;617;94;45;1.1678333333333333
Boat 11;1036;559;144;141;1.1678333333333333
Boat 11;433;488;183;83;1.1678333333333333
Boat 11;128;474;92;67;1.1678333333333333
Boat 11;160;489;52;31;1.1678333333333333
Boat 11;912;468;78;63;1.1678333333333333
Boat 11;1526;304;99;28;1.1678333333333333
Boat 1;39;764;132;72;0.0
Boat 2;249;619;163;59;0.0
Boat 3;960;594;155;90;0.0
Boat 4;252;555;150;79;0.0
Boat 5;24;524;75;30;0.0
Boat 6;916;470;81;87;0.0
Boat 7;538;457;113;69;0.0
Boat 8;0;456;172;78;0.0
Boat 9;19;483;53;23;0.0
Boat 9;39;764;132;72;1.2012
Boat 9;249;619;163;59;1.2012
Boat 9;960;594;155;90;1.2012
Boat 9;252;555;150;79;1.2012
Boat 9;24;524;75;30;1.2012
Boat 9;916;470;81;87;1.2012
Boat 9;538;457;113;69;1.2012
Boat 9;0;456;172;78;1.2012
Boat 9;19;483;53;23;1.2012
Boat 1;202;873;74;97;0.0
Boat 2;118;852;59;67;0.0
Boat 3;119;721;135;82;0.0
Boat 4;0;685;97;53;0.0
Boat 5;110;612;117;53;0.0
Boat 6;885;507;128;53;0.0
Boat 7;6;491;267;107;0.0
Boat 8;0;458;188;75;0.0
Boat 9;66;277;75;26;0.0
Boat 9;202;873;74;97;1.2345666666666666
Boat 9;118;852;59;67;1.2345666666666666
Boat 9;119;721;135;82;1.2345666666666666
Boat 9;0;685;97;53;1.2345666666666666
Boat 9;110;612;117;53;1.2345666666666666
Boat 9;885;507;128;53;1.2345666666666666
Boat 9;6;491;267;107;1.2345666666666666
Boat 9;0;458;188;75;1.2345666666666666
